H,HSD,HCV,D,DSD,DCV,A,ASD,ACV,Goal,Result
1.81,0.05,0.028,3.343,0.117,0.035,4.209,0.273,0.065,1-2',A
1.793,0.052,0.029,3.59,0.134,0.037,3.95,0.278,0.07,2-1',H
2.082,0.054,0.026,3.414,0.103,0.03,3.255,0.15,0.046,2-3',A
1.514,0.071,0.047,3.923,0.319,0.081,6.019,0.46,0.077,1-0',H
1.284,0.059,0.046,5.208,0.538,0.103,8.989,1.285,0.143,1-1',D
1.29,0.041,0.032,4.773,0.347,0.073,10.38,1.449,0.14,2-1',H
2.811,0.215,0.076,2.987,0.104,0.035,2.589,0.202,0.078,0-1',A
1.96,0.103,0.052,3.473,0.107,0.031,3.4,0.238,0.07,1-2',A
1.698,0.071,0.042,3.654,0.167,0.046,4.579,0.337,0.074,3-0',H
1.465,0.069,0.047,4.157,0.228,0.055,6.378,0.893,0.14,2-1',H
1.573,0.044,0.028,3.764,0.165,0.044,5.288,0.35,0.066,0-2',A
1.468,0.061,0.042,4.226,0.224,0.053,6.122,0.577,0.094,2-1',H
6.253,0.737,0.118,3.945,0.242,0.061,1.497,0.053,0.035,0-2',A
1.62,0.067,0.042,3.683,0.222,0.06,5.274,0.348,0.066,2-2',D
2.71,0.132,0.049,2.918,0.103,0.035,2.722,0.131,0.048,1-1',D
1.557,0.053,0.034,4.169,0.205,0.049,5.117,0.422,0.083,2-0',H
2.169,0.132,0.061,3.072,0.104,0.034,3.436,0.269,0.078,0-0',D
2.539,0.259,0.102,3.545,0.189,0.053,2.523,0.257,0.102,0-2',A
2.139,0.072,0.033,3.155,0.151,0.048,3.065,0.185,0.06,1-2',A
1.874,0.084,0.045,3.751,0.165,0.044,3.38,0.249,0.074,1-2',A
2.116,0.103,0.049,3.613,0.162,0.045,3.045,0.138,0.045,0-1',A
2.105,0.091,0.043,3.183,0.125,0.039,3.332,0.205,0.062,3-0',H
2.355,0.055,0.023,3.28,0.101,0.031,2.611,0.041,0.016,1-2',A
1.9,0.073,0.038,3.676,0.218,0.059,3.593,0.185,0.051,1-2',A
3.378,0.176,0.052,3.03,0.115,0.038,2.185,0.078,0.036,0-1',A
1.482,0.044,0.03,4.405,0.223,0.051,5.566,0.423,0.076,5-2',H
1.436,0.061,0.042,3.9,0.246,0.063,7.945,1.124,0.142,4-0',H
2.266,0.129,0.057,3.466,0.144,0.042,2.757,0.177,0.064,1-2',A
2.516,0.096,0.038,3.191,0.12,0.038,2.623,0.125,0.048,2-2',D
2.427,0.076,0.032,3.157,0.111,0.035,2.798,0.102,0.037,0-0',D
1.651,0.105,0.063,3.672,0.209,0.057,4.948,0.638,0.129,3-2',H
7.47,1.249,0.167,4.879,0.297,0.061,1.343,0.052,0.039,0-2',A
1.527,0.089,0.058,4.125,0.291,0.071,5.192,0.827,0.159,3-0',H
2.393,0.218,0.091,3.031,0.194,0.064,2.985,0.284,0.095,1-0',H
1.678,0.103,0.061,3.402,0.209,0.062,5.315,0.581,0.109,0-0',D
2.046,0.067,0.033,3.738,0.144,0.039,3.117,0.134,0.043,2-2',D
3.575,0.47,0.132,3.253,0.167,0.051,2.049,0.176,0.086,2-2',D
1.816,0.118,0.065,3.385,0.18,0.053,4.293,0.465,0.108,3-1',H
1.974,0.047,0.024,3.01,0.097,0.032,4.021,0.254,0.063,1-2',A
1.785,0.103,0.058,3.869,0.17,0.044,3.911,0.343,0.088,1-0',H
11.34,1.46,0.129,6.276,0.371,0.059,1.208,0.03,0.025,0-0',D
1.655,0.046,0.028,3.629,0.133,0.037,4.824,0.273,0.057,2-2',D
1.897,0.141,0.074,3.57,0.165,0.046,3.77,0.384,0.102,1-1',D
1.922,0.132,0.069,3.359,0.211,0.063,3.798,0.321,0.085,2-1',H
2.172,0.09,0.041,3.17,0.108,0.034,3.219,0.203,0.063,1-0',H
2.467,0.176,0.071,3.128,0.109,0.035,2.795,0.225,0.08,2-1',H
1.314,0.062,0.047,5.042,0.423,0.084,8.372,2.131,0.255,2-0',H
2.963,0.266,0.09,3.166,0.173,0.055,2.332,0.13,0.056,1-1',D
2.69,0.11,0.041,2.957,0.163,0.055,2.682,0.086,0.032,0-1',A
1.751,0.111,0.064,3.285,0.222,0.068,4.959,0.666,0.134,0-0',D
3.633,0.285,0.079,3.734,0.174,0.047,1.877,0.123,0.066,1-2',A
2.283,0.14,0.061,3.072,0.137,0.045,3.162,0.306,0.097,0-1',A
3.128,0.409,0.131,2.983,0.133,0.045,2.387,0.219,0.092,2-0',H
