League,H,D,A,FH,FD,FA,HandH,HandA,HHH,HHD,HHA,Hi,Lo,F_Hi_Odds,F_Lo_Odds,H_All,H_SD,H_CV,D_All,D_SD,D_CV,A_All,A_SD,A_CV,Num,H_per,D_per,A_per,Stat,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,F_Hilo,H_Hilo
125,2.3,3.2,2.65,3,2,3.4,NaN,NaN,4.8,3.8,1.52,2,1.72,3.05,1.32,2.37,0.1,0.04,3.23,0.12,0.04,2.79,0.24,0.08,6, 0.33 , 0.33 , 0.33 ,6,1,0,1,1,1,2,H,D,S,S
144,1.72,3.65,3.75,2.25,2.35,3.85,NaN,NaN,3,3.65,1.92,1.75,1.95,2.35,1.52,2.02,0.06,0.03,3.57,0.11,0.03,3.31,0.13,0.04,7, 0.43 , 0.43 , 0.14 ,6.9,1,0,3,0,1,3,H,H,B,S
56,3.8,2.88,1.95,4.6,1.85,2.7,NaN,NaN,1.72,3.3,4.1,2.65,1.42,3.8,1.22,4.08,0.26,0.06,3.26,0.14,0.04,1.9,0.09,0.04,5, -   , 0.40 , 0.60 ,7.3,1,0,2,0,1,2,H,H,S,S
56,2.8,2.95,2.35,3.75,1.9,3,NaN,NaN,1.5,3.8,5.05,2.3,1.54,3.4,1.27,2.74,0.26,0.09,3.08,0.11,0.04,2.59,0.22,0.09,106, 0.36 , 0.31 , 0.33 ,5.8,0,1,0,4,1,4,A,A,B,S
56,2.2,2.8,3.2,3,1.78,4.3,NaN,NaN,4.8,3.55,1.57,2.7,1.4,3.8,1.22,2.15,0.07,0.03,3.03,0.1,0.03,3.51,0.17,0.05,58, 0.60 , 0.24 , 0.16 ,6.5,1,0,1,1,1,2,H,D,S,S
124,2.63,2.95,2.47,3.35,1.95,3.15,NaN,NaN,1.44,4,5.4,2.07,1.67,2.97,1.34,2.49,0.12,0.05,3.19,0.13,0.04,2.66,0.09,0.04,193, 0.32 , 0.30 , 0.39 ,5.8,0,0,0,2,0,2,D,A,S,S
124,2.35,3.25,2.57,2.9,2.15,3.15,1.84,2,4.65,4.05,1.5,1.7,2.02,2.45,1.48,2.41,0.07,0.03,3.34,0.12,0.04,2.67,0.09,0.03,81, 0.38 , 0.26 , 0.36 ,6,0,2,1,3,2,4,A,A,B,B
79,1.68,3.8,3.75,2.15,2.35,4.2,2,1.82,2.78,3.65,2.02,1.52,2.35,2.3,1.54,1.66,0.06,0.04,4.07,0.2,0.05,4.38,0.32,0.07,28, 0.54 , 0.21 , 0.25 ,8.4,1,0,2,0,1,2,H,H,S,S
79,1.75,3.4,3.9,2.35,2.1,4.4,NaN,NaN,3.15,3.45,1.92,1.9,1.8,2.82,1.37,1.97,0.1,0.05,3.44,0.13,0.04,3.6,0.37,0.1,201, 0.54 , 0.23 , 0.23 ,7,1,1,2,1,2,3,D,H,B,B
79,1.6,4,4,2.05,2.45,4.3,NaN,NaN,2.55,3.7,2.15,1.98,1.73,2.19,1.6,1.72,0.08,0.05,3.98,0.24,0.06,4.12,0.29,0.07,23, 0.61 , 0.26 , 0.13 ,8.1,0,2,1,3,2,4,A,A,B,B
144,2.55,3.65,2.17,3.15,2.3,2.65,1.76,2.02,1.57,4.15,3.95,1.45,2.55,2.55,1.45,2.71,0.13,0.05,3.59,0.12,0.03,2.34,0.11,0.05,3, 0.33 , 0.33 , 0.33 ,6.3,1,0,3,1,1,4,H,H,B,S
124,2.12,3.1,3.05,2.8,2,3.7,1.96,1.88,4.3,3.65,1.61,2.02,1.7,2.88,1.36,2.31,0.09,0.04,3.19,0.12,0.04,2.92,0.12,0.04,211, 0.40 , 0.29 , 0.31 ,6.1,2,2,4,2,4,6,D,H,B,B
79,1.6,3.8,4.25,2.1,2.35,4.4,NaN,NaN,2.65,3.5,2.15,1.77,1.93,2.4,1.5,1.74,0.08,0.04,3.79,0.19,0.05,4.2,0.31,0.07,89, 0.60 , 0.23 , 0.18 ,8,0,1,0,2,1,2,A,A,S,S
79,2.68,3.5,2.15,3.2,2.25,2.7,1.82,2,1.6,4,3.95,1.55,2.29,1.92,1.78,2.96,0.14,0.05,3.67,0.23,0.06,2.15,0.1,0.05,5, 0.40 , -   , 0.60 ,6.6,1,1,1,2,2,3,D,A,B,B
79,1.95,3.55,3.05,2.5,2.3,3.4,1.79,2.04,3.45,3.8,1.74,1.6,2.19,1.95,1.75,1.83,0.1,0.06,3.75,0.24,0.06,3.83,0.38,0.1,69, 0.64 , 0.16 , 0.20 ,7.6,0,0,1,1,0,2,D,D,S,S
79,2.85,3.6,2.02,3.45,2.25,2.55,NaN,NaN,1.68,3.9,3.6,1.68,2.05,2.3,1.54,2.69,0.2,0.08,3.63,0.2,0.05,2.33,0.17,0.07,13, 0.31 , 0.08 , 0.62 ,6.3,1,2,1,3,3,4,A,A,B,B
124,3.1,3.15,2.08,3.8,2,2.75,NaN,NaN,1.63,3.6,4.2,2.02,1.7,2.92,1.35,2.72,0.17,0.06,3.16,0.13,0.04,2.46,0.11,0.04,114, 0.25 , 0.32 , 0.43 ,5.9,0,0,0,0,0,0,D,D,S,S
